	Q1_C1	Q1_C2	Q1_C3	Q1_C4	Q2_C1	Q2_C2	Q2_C3	Q2_C4	Q3_C1	Q3_C2	Q3_C3	Q3_C4	Q4_C1	Q4_C2	Q4_C3	Q4_C4	Q5_C1	Q5_C2	Q5_C3	Q5_C4	Q6_C1	Q6_C2	Q6_C3	Q6_C4	Q7_C1	Q7_C2	Q7_C3	Q7_C4	Q8_C1	Q8_C2	Q8_C3	Q8_C4	Q9_C1	Q9_C2	Q9_C3	Q9_C4	Q10_C1	Q10_C2	Q10_C3	Q10_C4	Q11_C1	Q11_C2	Q11_C3	Q11_C4
sub-102	0.5692283186122742	0.549050994812885	0.49768624135124173	0.5033917984362034	0.5514094255077685	0.525386532378756	0.4784906882383919	0.48341124954071135	0.5358202053218641	0.49836850954045653	0.4455492414911215	0.4477236199346614	0.5125431108383025	0.47161293906077006	0.42634897963370355	0.4210387289395194	0.49677570546611055	0.4511648983528917	0.27190785896651265	0.4031011384757245	0.4548533265939083	0.4413729153926095	0.21052000600652027	0.3810161654438179	0.44047998925076126	0.42762723559895915	0.20292373007284048	0.3770129405657165	0.43491607619731787	0.4128857635449621	0.1825305365654011	0.3657097139929502	0.4227119042589478	0.39692411835548397	0.1577670593383052	0.1279960100820422	0.4058392572921989	0.11027645558718052	0.08704609918321245	0.1205653085599269	0.4010039645479044	0.11008151958157297	0.03566949814219034	0.11767724579533868
sub-103	0.42337552457520927	0.3988680717602701	0.38335176986881964	0.4473309171977965	0.40112252276145033	0.3840982298702378	0.3548751820853583	0.4199049011242728	0.3896802957350918	0.3756898417793284	0.33072972765308284	0.38727634719414333	0.37573903072551507	0.36191018836522115	0.007767189962451864	0.3598858210346035	0.3599573488210372	0.34875625047459935	0.00105720187960523	0.33524910793262935	0.3417662388989355	0.333050186073252	2.220446049250313e-15	0.3145783519403304	0.3249692641832513	0.31983351015506667	8.881784197001252e-15	1.0880185641326534e-14	0.3145047355631788	1.887379141862766e-14	1.1102230246251565e-14	1.5987211554602254e-14	0.30797160767441295	1.199040866595169e-14	-5.329070518200751e-15	2.398081733190338e-14	0.30657455987421145	1.2434497875801753e-14	-1.3322676295501878e-14	1.84297022087776e-14	0.30657455987421145	1.2434497875801753e-14	-1.0658141036401503e-14	1.6431300764452317e-14
sub-104	0.5331940489098834	0.5289429053051453	0.5356488939355513	0.5755166113394321	0.5042407104946593	0.5043292098843679	0.5109824348076818	0.5527930176343056	0.47918415463440067	0.482501609815592	0.4854292736057932	0.5340138450887091	0.457012688460743	0.45607710508439403	0.4584567665347235	0.5122933399599222	0.4386874482389042	0.43735403870867046	0.4318715832521081	0.48817616257178337	0.41897753675391103	0.4141923990705701	0.4175982582490423	0.46745332566323994	0.3535069170082947	0.39914922490332705	0.4025122587466062	0.4603452891464319	0.34036151406107673	0.36354005741144413	0.3841744571838021	0.4290614950790484	0.31953575625316805	0.3519637442260474	0.31717603683919743	0.4266224290634979	0.3101595004487386	0.34050306027467186	0.15002980126306548	0.40776188873989605	0.275703951768405	0.3221890365015174	0.1494293805445545	0.31463767787674407
sub-105	0.5672516299213701	0.5907624219692078	0.5188241925438702	0.5938200403162381	0.5341934164380341	0.5524379719126346	0.489694614332681	0.5695347389869441	0.518938938113716	0.5352759580452962	0.41670510917530035	0.5518154187779756	0.49437069918567755	0.5081476635541243	0.40156746143815325	0.535327433483045	0.48021841770020124	0.4785776916452509	0.39441946249258386	0.5191290396061456	0.4634849078310495	0.4603057749234555	0.36291873734702607	0.5067778240205544	0.45096343237972203	0.4340287461439073	0.3491247921812067	0.49265449141394263	0.4280245955900937	0.4227640379353964	0.3396710750699894	0.47256159173152645	0.40839849950005547	0.40940469033955207	0.3273477603806252	0.46633187327447945	0.39942210766588476	0.38277959325583066	0.3313562747869718	0.4474235222630591	0.3877355916798171	0.37375040293261247	0.3207228708877835	0.4343907280519568
sub-106	0.6017428320839143	0.6305040778984204	0.6278455819213214	0.5710317173420878	0.5753277416653103	0.5925708219493322	0.585234004101363	0.5420066453080465	0.5496778386006652	0.5615437284250532	0.568761044963881	0.5137735937930253	0.5222942698631654	0.5472073168739149	0.5530377079192944	0.47751291104134896	0.47618417475442076	0.5341374546159713	0.5379352690973552	0.4769871532638939	0.45815519213312195	0.5160808081000824	0.5168711326919766	0.45667007558617567	0.44319128524003976	0.5013264995386773	0.49622237750303627	0.4397758392699702	0.4266102458299864	0.48452005584164093	0.481027183039083	0.2839335280620353	0.41327456413778674	0.4687515625414698	0.4650178976372367	0.28558271916501127	0.39994645099917586	0.4530908723094401	0.45120216082038733	0.2649833088162417	0.3863806574794595	0.4326451004241506	0.4373063484604293	0.2509222787802273
sub-107	0.5720751508122044	0.48731368373821854	0.5367361593383031	0.5509957599062633	0.5478021236594617	0.45681711437629435	0.5185409206868459	0.5051557828981607	0.5183476502436714	0.27385292679808154	0.4958564102964207	0.48580769895249937	0.49575754880964457	0.27512555880524436	0.4483014926720282	0.4564310819347892	0.4641697656436997	0.25320089268645274	0.41971098257034484	0.4447482317015609	0.4465883645524286	0.24329228064355818	0.39693753809055515	0.4406706993523197	0.42910118612069387	0.23667133216185104	0.38994883337216973	0.4199357937809237	0.41010638808691396	0.2300074589741977	0.3712684638605859	0.39182663152459174	0.3938193331792417	0.2147814376365653	0.35775506459690015	0.3746047026386699	0.3805946599269542	0.21384203063852247	0.34989224477896996	0.36755629603089757	0.022179434722509606	0.16949595271374088	0.3374322664822892	0.3536687624603582
sub-108	0.5146825175136397	0.5987050970717632	0.5714328397968256	0.6469994713361669	0.48591756393338337	0.5741553412441376	0.5439720062492991	0.6337907593918801	0.46540730802361474	0.5490984527807559	0.5293180081269246	0.6144326828914974	0.4444941062141849	0.5227358243749581	0.5128189339131985	0.5964928721843313	0.42197217376889823	0.5091567501093097	0.49611304408441004	0.5899882532584803	0.4114637712852958	0.4952174868160262	0.473176572123258	0.5777678906183423	0.4057478611618623	0.4766165315614898	0.4576323076027967	0.5635500752427279	0.3938957129504656	0.4616885651856938	0.4385309829791221	0.5499928893059961	0.3802076374468972	0.45216644313192295	0.28115914639768796	0.5353794764850176	0.25433314688580744	0.3804007500300448	0.27329701746277796	0.5219038109564258	0.2548959027349362	0.3659886062693049	0.26792517063747484	0.5095291084984136
sub-109	0.5963390625908613	0.595131366681646	0.6095009251655253	0.5764048900852611	0.5671362635419042	0.559714901446418	0.58477535333223	0.5425181778777963	0.5338375999074984	0.5194214415029389	0.5582027668821289	0.5124033022244832	0.5049878258814496	0.4937442488782483	0.5359017352829712	0.49091104098590355	0.49241701515658126	0.4643307881022819	0.5138157299843344	0.4679872608731949	0.45835581507026013	0.4484818489497262	0.48629821931679096	0.44368179324662493	0.4287432262565352	0.3049986290843286	0.4671939905080351	0.4345224980917702	0.4128841594164549	0.28466182636036996	0.4497447327228707	0.42091557717396755	0.39847063858507065	0.15671927937924948	0.4306334641487215	0.3963997532686871	0.3858166411050974	0.1533558728800064	0.41842502079977284	0.28699989958775973	0.11116543162848082	0.15108079310758465	0.4069150675916034	0.2801026762675894
sub-110	0.4923445966896558	0.5402643044639266	0.5946138730416223	0.5328967804068855	0.45798586724351903	0.5210956471925269	0.5668091033189299	0.5064073942041387	0.45346730213904607	0.49894628119218787	0.5508041291172938	0.4851694019026233	0.31043419215664747	0.4110371289838476	0.5326071606444592	0.4623826090272356	0.3085319144035467	0.4119520225309479	0.5273638993354819	0.44873996417174716	0.28893017745622857	0.4002378210000312	0.508058914061984	0.43028309750485283	0.2771933412953286	0.3933503769111286	0.4930720109929487	0.4208141154053651	0.28063100132001884	0.383970047164127	0.4773789981769928	0.4023612171344069	0.2680722364532408	0.37486347389797947	0.46363201905773455	0.2879379753614608	0.2629326909567086	0.3638682807476477	0.4521356180102676	0.27873492528287414	0.23836855200119497	0.35689435854889534	0.4405203386551992	0.25210170200557785
sub-112	0.521291731053562	0.5778575419053128	0.5219021549272217	0.540460189054306	0.4786626124009513	0.5451141219706164	0.4959376911609715	0.5044975587358347	0.4447914990274097	0.5225339712162568	0.45977404890945184	0.4786190161449657	0.42030337935920214	0.49131364563969965	0.4455402892785835	0.4492226752216569	0.39612480076334544	0.4612028609452957	0.41737476219752756	0.4171060059495505	0.38254049955637726	0.43489216405511544	0.3945979946916581	0.3819563142888599	0.08455541786052961	0.4205064162723394	0.34108079925097173	0.36659771002274705	0.07504020966040546	0.4022599595284212	0.038912792444246544	0.039980968364496466	0.014766629040376157	0.351030576320108	0.041839128632975994	0.03844321550225458	0.01671468868145905	0.21114266989705618	0.03398162253874842	0.03850336053300685	0.015273641996977578	0.17615996015541505	0.028471711961114407	0.03245357370714454
sub-114	0.3254141680374332	0.30750123820287356	0.4513970007520435	0.3858381462782522	0.2193660155690103	0.28428632730516656	0.3070678824060644	0.3446419450901077	0.2069298697237262	0.2352472072153769	0.17708254219793884	0.18498105954839486	0.1661019932173055	0.15550940025138826	0.13490267028880965	0.1785058490549829	0.1609375449624015	0.14390133045263678	0.12898315660096915	0.1495272458480936	0.15748858049290568	0.13952365340248077	0.12154916453502748	0.12459926933644883	0.15198595849198598	0.13124524365292017	0.1067119024883676	0.12139124935294825	0.14201052173959705	0.12441970547548599	0.0986250284015703	0.1173572085444611	0.13755660446519738	0.1180250210250602	0.10111725229688662	0.1089015790274948	0.13634237102702199	0.11262398872168031	0.10222031340927196	0.10833712043047007	0.11349236054417113	0.10390120315021449	0.09949972033413462	0.10714736172740554
sub-115	0.5541911213054848	0.5823162700185958	0.5981802514751574	0.5768719638149621	0.5221239672276018	0.5491562722640806	0.5591891328115887	0.5469290833311196	0.4961081538306445	0.5192196737434929	0.5339344171903045	0.5230075499190673	0.47505553935017497	0.43873375219904726	0.505726006453361	0.5020748483449562	0.40659818590928987	0.42112109533265213	0.45549847887578	0.48327483006501715	0.39003046552225173	0.4063590139482343	0.4320739736918465	0.45943714136024727	0.3722176188538452	0.38658314148145706	0.41525468966110957	0.44170810508693203	0.33167834778857697	0.3688990454262479	0.39892523497743937	0.4242661388804242	0.3164669316805897	0.3528722648837383	0.3809268464985607	0.40906913413187046	0.3135010672606973	0.35225726450876566	0.3688373806950786	0.39799997540405313	0.14277919776543538	0.3482388599728715	0.22027214331031128	0.1241873813236587
sub-116	0.4346987862831673	0.5928347681639587	0.5952766731702581	0.6349167828626083	0.40770282396768864	0.5473690106235709	0.5677590198280855	0.6092010473329433	0.37855414114702296	0.5192353486808378	0.5347075663518797	0.5900587674873109	0.3526207325700055	0.4912527037092337	0.5103290702480293	0.5652347188574287	0.31979711247589504	0.47620285021850234	0.48297073351987385	0.546615610629845	0.21528759590701554	0.4527952144703438	0.4712469315194142	0.5257776731596648	0.20665685002079584	0.4403523087572863	0.45360319893713735	0.5020264463697075	0.200625567314194	0.4175829842916467	0.35763714385225914	0.4820379673953851	0.20357938825369618	0.39774143474173823	0.35530987540934506	0.4408953789388413	0.19778378217953033	0.1454853119068957	0.36147477913889126	0.4272870503433703	0.20442492901996664	0.1218454765479857	0.3565929254011378	0.41237914309986345
sub-117	0.47887454861521395	0.5122840936993422	0.5400954217986489	0.5663984941371516	0.46746942971491984	0.41320733039972335	0.5109703362546478	0.5145392315179482	0.4486237848587478	0.38573041579017936	0.48333923059431816	0.4778694491979391	0.3910939779855752	0.37153142799124567	0.42375918475650115	0.4677041785855624	0.3808378503271417	0.3576391881881757	0.3997512465484504	0.45613486850537915	0.38774223284802445	0.33663587404853856	0.4056227605106978	0.45889492670039705	0.3792403147878781	0.3297116528686533	0.35091448989580903	0.45045568704366185	0.37475631428677886	0.32295601265100177	0.34724631308598297	0.43761596191934055	0.35926650917432146	0.31605035780359125	0.34014097815627475	0.42553410754064214	0.35495131951999304	0.3026728857901653	0.3338663107007522	0.4162151068388234	0.3536293162366375	0.30312311520677127	0.3279071848981764	0.40577929710574684
sub-118	0.4955422576957571	0.5607010529604455	0.5442823881066262	0.5718770747669754	0.4701950126108446	0.5231608517041357	0.5206807743234435	0.5478850691176042	0.437101110096272	0.49881287182866946	0.48293731688853353	0.5187568797244066	0.4175204699524893	0.47548713233598816	0.43011189317184384	0.5018434944123029	0.39705947114717455	0.462785546946759	0.4093544906897439	0.4559953782113361	0.29008911415877386	0.3792760514008767	0.3890973838576411	0.4381872329936754	0.06187170825630317	0.3512521239983617	0.374839934895073	0.4252046380881567	0.05602708751440228	0.33479982365827354	0.35650343493397774	0.4181746820176884	0.05992875072750326	0.2390364451442266	0.34396669463454427	0.4017852452263858	0.054466624978181666	0.234287201232627	0.12416593987126552	0.3875019323596805	0.053106727428645376	0.22317388793468979	0.11550772845951054	0.14239682117329788
sub-119	0.466126110580264	0.5261773524028014	0.560944969505755	0.4081583477606006	0.4290138230491017	0.5071864637993676	0.5311219974989256	0.3905093630373886	0.4130837616737999	0.4771280748511941	0.5081246921043471	0.36497603570937864	0.3616560670449278	0.45798930875504795	0.4933640425982002	0.3301624728182603	0.3420141639180381	0.4408761313245342	0.4691510593407946	0.15532126751234354	0.32398899896893285	0.42510441348264066	0.42926577179671416	0.15109237113511972	0.31176165954025237	0.41421244203339935	0.4172302140361764	0.13113291872081886	0.1439623411211667	0.3979375976937188	0.4228115332178278	0.11920117672864029	0.12402870834989173	0.3812037873101621	0.40057872627806657	0.11585077663734049	0.13146607030651	0.3696205079309962	0.3830174931972351	0.10959057491445329	0.12289340138982865	0.35585123366883287	0.37314214914502014	0.10725047864303447
sub-120	0.5049416554183981	0.5602286036455293	0.5613500054978315	0.5373271985294392	0.4842270939572447	0.5059920807962126	0.5374525742048443	0.5241003126157943	0.4583075043438789	0.4814456496016418	0.5191796501020302	0.4963486508627097	0.44444617169870565	0.4628100343731729	0.5029678781501871	0.4765814424943847	0.4374399118954557	0.4208051239344784	0.4892732571144519	0.45145538017805753	0.429836780263993	0.40682088601221	0.4723771105475036	0.3500335551306512	0.40234244354295456	0.29900643500730967	0.4550974476501211	0.2978597857224127	0.3030481108345816	0.2842000052898738	0.44628405853674086	0.2896967086849528	0.28186873887275493	0.28859041369608934	0.4306595492747566	0.2800497177836814	0.26663498230402116	0.28342273506029003	0.32182369170848096	0.27269061532332234	0.25392345357316687	0.28375682587922935	0.31770880460180356	0.2629476270133526
sub-121	0.4600130209198291	0.5249085530567137	0.519271946608657	0.4544112033229574	0.42943067376757427	0.5037988569476549	0.4970119711716387	0.41959678493519725	0.402761317000026	0.4794736781235364	0.46465215427407963	0.37932216614396574	0.3816850641666598	0.4634863239929728	0.4461687118418483	0.3245347813589818	0.36410805139353153	0.444411631587616	0.42725340689395797	0.22899563365718945	0.2871157893159432	0.41684796337490526	0.4085346472609796	0.14535507039103732	0.24771861739007664	0.40283502743673416	0.39180401516538876	0.12845755212492996	0.24159336850965718	0.3920338172241486	0.3794532252278139	0.12382813382995476	0.23738604436375305	0.3803140926510421	0.36438284324015496	0.11651408213305706	0.17428890557217142	0.05296357622172812	0.35207720605660636	0.11022734701214826	0.16510155830811504	0.044864845322733354	0.07098061427905175	0.10850898159693648
sub-122	0.45108098840497585	0.5611520697874661	0.555075933353379	0.5555225517762127	0.36459311324059057	0.5401929835083943	0.4882156939849187	0.46438839109347985	0.3412684694077931	0.5230875783160304	0.46880578717309884	0.4648773003667775	0.2290500606575586	0.5163685776493181	0.45672881587219377	0.45669572551246995	0.21355796493056095	0.5049970444569089	0.44619744649151	0.43799275737303	0.20266613748429269	0.49791663071991266	0.4285445598350711	0.42684141406062537	0.19293368306973183	0.48993249869014965	0.4135867844186365	0.40012928660034963	0.18830651580161958	0.4771989127323479	0.4040648238263459	0.39823830171701874	0.18336596046729917	0.46702594274125425	0.3892962558876581	0.39212153903971453	0.17660198293854792	0.4561101767864687	0.3810340075130828	0.38701366036165824	0.05676545116654154	0.44284461356945914	0.38292344742387474	0.3807524354334745
sub-123	0.4832312833837111	0.4360842275316974	0.4588402505072868	0.5586675591620236	0.4592694019246783	0.40797844634371866	0.43145339064279686	0.5333229522538783	0.4411716983122854	0.3890402050567989	0.3891432373752264	0.510645310882539	0.4230827347000288	0.3547625932250117	0.3741685756903628	0.4988210835778783	0.4025410274284846	0.3350459719814381	0.35718679277635473	0.4815409028451297	0.39258524181307675	0.32275342301877746	0.34250513810808436	0.4591679879246813	0.37800392087075135	0.29455889051062	0.3342651341821241	0.4406476916095276	0.3630496417340513	0.28346719576050317	0.3092396449741856	0.42698193923042266	0.3547119619660394	0.2799642002469051	0.3050735021995184	0.4123616527763922	0.3435739980458633	0.27268581537228814	0.28011979336513415	0.40547030879060514	0.33577327278926367	0.267052566785664	0.2709659901970772	0.39309506986717574
sub-124	0.576669306458422	0.6082261059276682	0.53201519442387	0.5984235181244285	0.556897010927394	0.6013436635824683	0.5294089387854026	0.5708438931674633	0.5345496070518666	0.5757971577900924	0.5295205962951124	0.5423245805507211	0.5189832415203978	0.5611992906785671	0.5170612902543519	0.5105870392166608	0.5030374353751995	0.5394752953828338	0.5072946903692728	0.4905835842783368	0.48198725040923346	0.518567351797809	0.49811057724789864	0.47932046234631587	0.46114248098039035	0.5013777553137162	0.47852355338016844	0.46506234314897266	0.4555807582874264	0.4851683373517229	0.4668952465076359	0.4477742611829623	0.43798595560425313	0.4610994002518523	0.45104254479734884	0.4358249862837876	0.42225337024005866	0.44647666855734625	0.4367778725772639	0.42829447911444957	0.41371213975171645	0.39342086263312753	0.4189906582236793	0.3533297683148559
sub-125	0.5903011836669543	0.602169976202849	0.6290352382749437	0.5497275045591794	0.5692096523032362	0.5781376958089623	0.5931493767842319	0.5087535559233839	0.5389764241185813	0.5407421473215505	0.5791058848438942	0.4835662844949405	0.5230890381409742	0.5183486820985712	0.5507363748581366	0.46700964128679856	0.5078529785440064	0.4969186961979838	0.5355171157467346	0.44713052376300105	0.48996194767950013	0.48051200740315614	0.5097455726237442	0.4114140530030786	0.4572444186654675	0.464913946377266	0.4917718021083999	0.2599759766516152	0.4530844117389472	0.44754316498079155	0.4764521895834668	0.25583209300900056	0.41829458031145955	0.43399893267555373	0.464397908109371	0.24944087293262368	0.40297362956479105	0.4122289189765734	0.45131483373345926	0.24865282060366145	0.38988604589991877	0.09200928812533644	0.44012599002923175	0.0829800771090796
sub-126	0.39045562123914174	0.5396275118017229	0.4411709123899432	0.560894149263966	0.2802248596508381	0.5349218635638616	0.3912938911625947	0.5508242677075972	0.2742852237465596	0.5255536876077981	0.39422258822101136	0.5363555846064788	0.27018210330140147	0.512696338749636	0.37525575277005113	0.5371271828641332	0.24656793976905786	0.4959524869105447	0.35193918732664287	0.50245721909242	0.24002300715317157	0.48406260003167717	0.3543269430196432	0.4907206910937856	0.23389116893997083	0.41595486634690937	0.3493250707006046	0.4803928347653753	0.2304758238593668	0.4064438669686072	0.34948932393056104	0.4790879942210286	0.21838565619105943	0.39194467257198834	0.337048108270216	0.4667936106176758	0.2098036698850551	0.3837331645325893	0.3356016196044959	0.4611401445311633	0.21126715186533004	0.3824972826521672	0.3443424785286804	0.4543037656131829
sub-129	0.567486881369301	0.5251953659350935	0.5736946752332724	0.515245239995748	0.5464659710596389	0.5041365838184176	0.5513611240174773	0.4873383505089565	0.5135218115555658	0.46235565622500846	0.5292272738028768	0.4045250427816266	0.474638505633512	0.434124172490809	0.49759701029927167	0.3912196082229429	0.457359869170198	0.3700853008921095	0.4791689344968165	0.3694343042159563	0.4353061256346051	0.351249805401525	0.4551449309251863	0.28600942699701387	0.41495349639852164	0.33677077047334775	0.440974637435094	0.2619459155747781	0.3990725925734352	0.323724427565134	0.4295902915586697	0.24073492531302298	0.2169031648669422	0.29594524075125755	0.4153682191454479	0.1443465069272223	0.13848572249132116	0.25788397077819064	0.2037806706218477	0.13274920580434188	0.13118846905059184	0.241216556276826	0.1968788355666182	0.11942897959578401
sub-130	0.5967771968846395	0.5239456406796199	0.5501599864872261	0.6038802047157672	0.558370161675693	0.501562306413055	0.5139604934927693	0.5544063436960833	0.5312796618627068	0.4783593863505176	0.49545386765803356	0.5425912644343321	0.5042328348879197	0.4502567422398147	0.4703647010125994	0.5267682569094911	0.48256249834383624	0.42110308512247385	0.4601598923891246	0.504640319760106	0.4610338397077255	0.40701701890147424	0.4439569048493455	0.488671034705203	0.44261213294687396	0.3880971565688666	0.4278960667155106	0.4780965443782691	0.42410551175313993	0.32363389657022995	0.4147935580123397	0.46297593354873223	0.41608438933507896	0.30375779870789493	0.36960230497395286	0.4630229767161269	0.404338537093246	0.21498784689830258	0.34988973504526577	0.4509449673299341	0.39294252285725223	0.01829245263145174	0.04241995952782539	0.43940382422947877
sub-131	0.6021877625795852	0.5752471020879053	0.6119107105864889	0.5484775879866813	0.5683420576190135	0.5085654445628496	0.5921758869047301	0.5138973350905585	0.5369970455886455	0.4879838704652201	0.5753981971690666	0.4898951862005147	0.5070736574658751	0.4743261982594787	0.5483480912381337	0.4692173765240468	0.4846614864076793	0.45579392113294953	0.5360091982132307	0.4507221168494461	0.46976819924573404	0.43349652795582605	0.518709397835289	0.43625356531447007	0.44955048142583987	0.4165854461204809	0.5000975235325621	0.4225476942798364	0.4359122539776048	0.4006901401667102	0.4882303575559834	0.4097924665510446	0.42034335412999196	0.3745786754382021	0.4689594815453466	0.39826391952248097	0.38174181156717885	0.2851795477594697	0.45469181416237564	0.389205174578432	0.14443839858138255	0.2852578123507259	0.4377857655144254	0.37788116183167875
sub-132	0.6144881036738673	0.5238880683245867	0.5656532942506303	0.5243790736143413	0.5964159904247419	0.4862550075930012	0.5426058628092021	0.49591976656436454	0.5704570700133855	0.45155764669481807	0.5184981718756073	0.44144600838175435	0.5490446317082636	0.42724925012629456	0.4986569596944704	0.4200465940036823	0.5262476719240384	0.4044769095426365	0.48077426936198686	0.4179410446709931	0.5056940995476942	0.2686553596951668	0.4614064541519641	0.404374461247873	0.4897194647822546	0.25729429738070575	0.438516986832577	0.3891130610406974	0.4618021640513285	0.2369614438528271	0.4189478417426512	0.26045521505029584	0.45979124752869827	0.22923139867705408	0.4065091967459137	0.1645653941371243	0.44762311029733526	0.22168709978793877	0.39367307642883603	0.1626814626984603	0.43340994930838006	0.2151843686973428	0.2075033244079353	0.14922581294130535
